カテゴリ,料理名,単位,糖質[g]
穀類,小麦粉,100g,73.3
穀類,全粒粉,100g,57.0
穀類,1食パン6枚切り,60g（1枚）,26.6
穀類,ロールパン,30g（1個）,14.0
穀類,うどん（ゆで麺）,250g（1玉）,52.0
穀類,そうめん（乾麺）,100g（2束､1食分）,70.2
穀類,ラーメン（生麺）,120g（1玉）,64.3
穀類,スパゲッティ（乾麺）,80g（1食分）,57.0
穀類,生ふ,50g,12.9
穀類,焼きふ,5g,2.7
穀類,白飯,150g（茶碗小1杯）,55.2
穀類,全粥,250g（茶碗1杯）,39.0
穀類,もち,50g（1個）,25.2
穀類,そば（ゆで麺）,200g（1玉）,48.0
,,,
,,,
芋・でんぷん類,きくいも,100g（小2個）,12.8
芋・でんぷん類,板こんにゃく,125g（1/2枚）,0.1
芋・でんぷん類,さつまいも,100g（中1/2本）,30.3
芋・でんぷん類,さといも,100g（中2個）,10.8
芋・でんぷん類,じゃがいも,100g（小1個）,16.3
芋・でんぷん類,長いも,100g,12.9
芋・でんぷん類,片栗粉,9g（大さじ1）,7.3
芋・でんぷん類,コーンスターチ,6g（大さじ1）,5.2
芋・でんぷん類,くずきり,20g（約1食分）,17.3
芋・でんぷん類,ごま豆腐,70g（約1食分）,5.7
芋・でんぷん類,緑豆はるさめ,20g（約1食分）,16.7
,,,
,,,
砂糖・甘味料,砂糖,9g（大さじ1）,8.9
砂糖・甘味料,ラカントS（顆粒）,13g（大さじ1）,0.0
砂糖・甘味料,ラカントホワイト,3g（1本）,0.0
砂糖・甘味料,水あめ,21g（大さじ1）,17.9
砂糖・甘味料,ラカントS液状,12g（大さじ1）,0.1
砂糖・甘味料,はちみつ,21g（大さじ1）,16.7
砂糖・甘味料,メープルシロップ,21g（大さじ1）,13.9
,,,
,,,
豆類・大豆製品,ゆであずき（無糖）,100g,12.4
豆類・大豆製品,あずき缶（加糖）,100g,45.8
豆類・大豆製品,あんこ（砂糖添加）,20g（大さじ1）,9.7
豆類・大豆製品,いんげんまめ（ゆで）,100g,11.5
豆類・大豆製品,青えんどう（ゆで）,100g,17.5
豆類・大豆製品,ひよこ豆（ゆで）,100g,15.8
豆類・大豆製品,大豆（乾）,100g,11.6
豆類・大豆製品,大豆（水煮）,100g,0.9
豆類・大豆製品,蒸し大豆,100g,5.0
豆類・大豆製品,黒豆（乾）,100g,14.8
豆類・大豆製品,おから,100g,2.3
豆類・大豆製品,きな粉,100g,10.4
豆類・大豆製品,木綿豆腐,150g（1/2丁）,1.8
豆類・大豆製品,絹ごし豆腐,150g（1/2丁）,2.6
豆類・大豆製品,生揚げ（厚揚げ）,150g（1個分）,0.3
豆類・大豆製品,油揚げ,30g（1枚）,0.2
豆類・大豆製品,がんもどき,80g（1個）,0.2
豆類・大豆製品,凍り豆腐（高野豆腐）,20g（1枚）,0.3
豆類・大豆製品,納豆,40g（1パック）,2.2
豆類・大豆製品,豆乳,200g（コップ約1杯）,5.8
豆類・大豆製品,ゆば（生）,30g（1枚）,1.0
,,,
,,,
種子類,アーモンド,10g（10粒）,1.1
種子類,カシューナッツ,15g（10粒）,3.0
種子類,ぎんなん（ゆで）,15g（10粒）,5.0
種子類,栗（ゆで）,16g（1個）,4.8
種子類,くるみ,30g（10粒）,1.3
種子類,ごま,2g（小さじ1）,0.2
種子類,ピスタチオ,6g（10粒）,0.7
種子類,へーゼルナッツ,15g（10粒）,1.0
種子類,ピーカンナッツ,20g（10粒）,1.2
種子類,マカダミアナッツ,20g（10粒）,1.2
種子類,まつの実,3g（10粒）,0.0
種子類,バターピーナッツ,8g（10粒）,0.9
種子類,落花生,8g（2粒入のサヤ5個）,1.0
種子類,ピーナッツバター,10g,1.4
種子類,ロカボスタイル 低糖質スイートナッツ,70g（1袋）,2.0
,,,
,,,
野菜,アスパラガス,15g（1本）,0.3
野菜,さやいんげん,10g（1さや）,0.3
野菜,えだまめ（ゆで）,15g（10さや）,0.6
野菜,豆苗,80g（1パック）,0.6
野菜,さやえんどう,20g（10さや）,0.9
野菜,スナップえんどう,45g（5さや）,3.3
野菜,グリーンピース,5g（10粒）,0.4
野菜,おくら,35g（5本）,0.6
野菜,かぶ,45g（小1個）,1.4
野菜,かぼちゃ,120g（1/8個）,20.5
野菜,カリフラワー,250g（1株）,5.8
野菜,キャベツ,45g（葉1枚）,1.5
野菜,きゅうり,100g（1本）,1.9
野菜,水菜,200g（1束）,3.6
野菜,壬生菜,200g（1束）,2.2
野菜,クレソン,30g（1束）,0.0
野菜,くわい（ゆで）,20g（1個）,4.9
野菜,ごぼう,50g（1/4本）,4.9
